Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
88.2,14.159,29.14498038
88.4,17.165,35.40000808
88.6,17.224,35.58976859
88.8,13.99,28.96301143
89,15.485,32.11998678
89.2,15.149,31.48397704
89.4,15.61,32.50523843
89.6,16.372,34.15862736
89.8,15.611,32.63480643
90,14.501,30.37409622
90.2,15.155,31.80661426
90.4,13.249,27.86116779
90.6,14.131,29.774372
90.8,15.768,33.28884775
91,16.904,35.75717239
91.2,16.353,34.65946866
91.4,16.597,35.24554536
91.6,14.097,29.99515178
91.8,13.889,29.61043298
92,14.307,30.56128497
92.2,17.08,36.55612329
92.4,15.288,32.78478167
92.6,12.612,27.09912069
92.8,15.441,33.24272929
93,14.767,31.85400699
93.2,15.383,33.24788696
93.4,12.807,27.73463348
93.6,15.113,32.79281094
93.8,12.636,27.47208234
94,13.811,30.08584902
94.2,14.759,32.21443906
94.4,15.14,33.1113924
94.6,16.19,35.47789968
94.8,12.496,27.43741733
95,13.396,29.47204735
95.2,14.358,31.65147718
95.4,12.226,27.00544394
95.6,14.105,31.21828616
95.8,14.164,31.41182555
96,11.429,25.3973936
96.2,13.947,31.0554518
96.4,13.661,30.48023145
96.6,12.24,27.36519809
96.8,12.92,28.94435646
97,12.348,27.71948208
97.2,12.606,28.35671402
97.4,12.748,28.73517656
97.6,13.031,29.43377591
97.8,12.935,29.27752698
98,12.46,28.26110395
98.2,13.827,31.4271981
98.4,11.825,26.93326855
98.6,11.09,25.31240177
98.8,10.669,24.40299879
99,11.449,26.24270398
99.2,8.7031,19.99127535
99.4,11.331,26.08340682
99.6,11.082,25.56512402
99.8,8.5649,19.80112922
100,10.436,24.17931209
100.2,8.5143,19.76981378
100.4,12.046,28.03102599
100.6,11.609,27.0727396
100.8,10.548,24.65173774
101,9.9532,23.31196829
101.2,9.2569,21.72798041
101.4,8.4289,19.82718487
101.6,7.0779,16.68513562
101.8,7.7239,18.24718738
102,8.6094,20.38285249
102.2,6.6496,15.77681042
102.4,8.6853,20.65089847
102.6,9.8511,23.47297506
102.8,7.765,18.54184731
103,6.876,16.45410997
103.2,7.276,17.44845869
103.4,7.7802,18.6973417
103.6,6.8458,16.48682073
103.8,6.3118,15.23310483
104,6.6109,15.98884818
104.2,6.7058,16.2527734
104.4,7.3394,17.82611261
104.6,5.712,13.90280432
104.8,5.9034,14.39903781
105,5.3187,13.00028099
105.2,5.6435,13.82326707
105.4,4.9836,12.23261254
105.6,5.552,13.65646604
105.8,5.1492,12.69230279
106,5.7828,14.28399199
106.2,5.6837,14.06864631
106.4,5.2239,12.95760518
106.6,5.3019,13.1785957
106.8,4.7618,11.86084049
107,6.0091,14.99890185
107.2,4.9072,12.27406783
107.4,5.7628,14.44415215
107.6,5.1407,12.91170333
107.8,4.948,12.45353864
108,4.1943,10.5784835
108.2,5.019,12.68472346
108.4,3.972,10.05939784
108.6,4.4404,11.26893392
108.8,3.5853,9.117657969
109,3.1135,7.934193584
109.2,3.0088,7.683205442
109.4,3.2348,8.277340967
109.6,3.261,8.361565256
109.8,3.0784,7.909596029
110,1.9123,4.923532923
110.2,3.4428,8.88225609
110.4,3.1962,8.262952011
110.6,2.6533,6.873477979
110.8,2.8448,7.384650691
111,3.5522,9.239804594
111.2,2.3365,6.090002298
111.4,1.8254,4.767548863
111.6,2.3069,6.037407055
111.8,1.6056,4.210588334
112,2.6581,6.984890965
112.2,2.0669,5.442392213
112.4,2.041,5.385110267
112.6,1.9533,5.164174922
112.8,1.8655,4.942046481
113,1.8395,4.883038263
113.2,1.4642,3.894652292
113.4,1.5228,4.058712645
113.6,1.8116,4.83820312
113.8,1.6744,4.480810268
114,0.87821,2.354889225
114.2,0.91609,2.461411515
114.4,1.2192,3.282420687
114.6,0.77389,2.08771374
114.8,0.23867,0.645150749
115,0.7448,2.017316006
115.2,1.1955,3.244546337
115.4,1.0835,2.946474559
115.6,0.9806,2.671986738
115.8,1.0347,2.825040919
116,1.1376,3.112196577
116.2,0.90055,2.468605406
116.4,0.93371,2.564611184
116.6,0.89937,2.47521466
116.8,0.76397,2.106759711
117,0.72169,1.994127385
117.2,1.2145,3.362501808
117.4,0.427,1.184554293
117.6,1.0057,2.795483482
117.8,1.1769,3.277847375
118,0.81521,2.274985602
118.2,0.9451,2.642689961
118.4,1.1359,3.18249084
118.6,0.41612,1.168163361
118.8,0.76298,2.146126883
119,0.42799,1.206236423
119.2,0.74377,2.100358257
119.4,0.71213,2.014973052
119.6,0.68374,1.938454116
119.8,0.42916,1.219095403
120,0.45701,1.300760755
120.2,0.8664,2.47082952
120.4,0.94366,2.696446784
120.6,1.1907,3.409023446
120.8,1.2115,3.475375556
121,0.34925,1.003840685
121.2,0.96119,2.768133599
121.4,0.71317,2.0578782
121.6,0.553,1.59882123
121.8,1.0603,3.071504048
122,0.79838,2.317282168
122.2,0.6699,1.948164282
122.4,0.62789,1.829552538
122.6,0.35531,1.037322661
122.8,0.5151,1.506754507
123,0.43438,1.27310636
123.2,0.51723,1.518874521
123.4,1.1211,3.298566744
123.6,0.3207,0.945414002
123.8,0.27703,0.818260214
124,0.4845,1.433835729
124.2,0.23668,0.70179066
124.4,0.27125,0.805852586
124.6,0.34673,1.032087554
124.8,0.65725,1.96017305
125,0.34743,1.038171901
125.2,0.43054,1.288999009
125.4,0.7001,2.100075119
125.6,0.83226,2.501312885
125.8,1.0634,3.202126547
126,0.28842,0.870159077
126.2,0.78777,2.381237955
126.4,0.64473,1.952585059
126.6,1.0233,3.105006034
126.8,0.96216,2.925047006
127,0.49324,1.502341356
127.2,0.48917,1.492772591
127.4,0.63754,1.949231948
127.6,0.61418,1.881363686
127.8,0.3705,1.137064447
128,0.52047,1.600335892
128.2,1.1558,3.560537153
128.4,1.0414,3.214153567
128.6,0.97338,3.009861645
128.8,0.64094,1.985616711
129,0.62914,1.952711804
129.2,0.84441,2.625765452
129.4,1.0635,3.313223093
129.6,0.042437,0.132454713
129.8,0.96833,3.027991351
130,0.57572,1.803640703
130.2,0.81065,2.54435992
130.4,0.69402,2.182340886
130.6,0.47967,1.511115351
130.8,0.38039,1.200570415
131,0.51425,1.626055541
131.2,0.96755,3.065039541
131.4,1.3431,4.262571507
131.6,1.0518,3.344230853
131.8,1.3876,4.420040347
132,0.70102,2.237125413
132.2,0.56494,1.806173075
132.4,0.54838,1.75644644
132.6,1.0542,3.38276436
132.8,0.16023,0.515094813
133,0.60603,1.951781832
133.2,0.50268,1.621891381
133.4,1.0609,3.429231802
133.6,0.54718,1.77191987
133.8,0.39077,1.267727171
134,0.24862,0.808035851
134.2,0.18257,0.594447145
134.4,0.98842,3.22414012
134.6,0.7308,2.388134487
134.8,0.7713,2.52505446
135,0.6335,2.077689022
135.2,0.86255,2.834027486
135.4,0.46427,1.528183866
135.6,0.6512,2.147355562
135.8,0.2877,0.950415249
136,0.74999,2.482060522
136.2,3.90E-06,1.29E-05
136.4,0.34009,1.129576676
136.6,0.25318,0.842428156
136.8,0.65309,2.176995756
137,0.90669,3.027777119
137.2,0.79631,2.663957213
137.4,0.45991,1.54133631
137.6,0.91263,3.064067107
137.8,0.46065,1.549362673
138,0.48582,1.636949954
138.2,0.80711,2.724396219
138.4,0.66894,2.26204779
138.6,0.49242,1.668118564
138.8,0.38283,1.299192127
139,0.94362,3.208043984
139.2,0.52166,1.776667099
139.4,0.46593,1.589696216
139.6,0.46716,1.596738022
139.8,0.52362,1.792909686
140,0.898,3.080295088
140.2,1.1977,4.115638539
140.4,0.82247,2.831271822
140.6,0.87783,3.027215731
140.8,0.41197,1.423210416
141,0.2274,0.786979936
141.2,0.47309,1.640158224
141.4,0.93082,3.232775544
141.6,0.67422,2.345732189
141.8,0.27839,0.970278595
142,0.50748,1.771849534
142.2,0.17477,0.611278242
142.4,0.62833,2.201522048
142.6,0.96963,3.403325739
142.8,1.106,3.888784375
143,1.009,3.553940781
143.2,0.48108,1.697444651
143.4,0.33693,1.190902776
143.6,0.42644,1.509912792
143.8,0.37717,1.337788217
144,0.47203,1.677162347
144.2,0.010359,0.036870378
144.4,0.32971,1.175560798
144.6,0.63368,2.26326369
144.8,0.14377,0.514380577
145,0.67824,2.430803007
145.2,0.29314,1.052423323
145.4,1.0027,3.606071558
145.6,0.97417,3.50949756
145.8,1.0173,3.67117445
146,0.59621,2.155261278
146.2,0.48388,1.752192983
146.4,0.34839,1.263724586
146.6,0.86143,3.130027287
146.8,1.3441,4.892152322
147,0.20419,0.744461069
147.2,0.62331,2.276405454
147.4,0.26258,0.960603199
147.6,0.80696,2.957127899
147.8,0.16183,0.594034542
148,0.23533,0.86529335
148.2,0.60353,2.222885923
148.4,0.15493,0.571590371
148.6,0.071818,0.265407129
148.8,0.7564,2.800009517
149,1.1147,4.133267464
149.2,0.97765,3.63115877
149.4,0.43808,1.629822784
149.6,0.42119,1.569599772
149.8,0.63829,2.382602647
150,0.29627,1.107752509
150.2,0.083509,0.31275823
150.4,0.54215,2.033828717
150.6,0.70898,2.664080838
150.8,0.088086,0.331541471
151,0.12513,0.471746869
151.2,0.33724,1.273509918
151.4,0.6831,2.583820052
151.6,0.30256,1.146313163
